Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2018-01-04  14:25:22,1,0.0,14.0,-14.0,14.0,14.0,,-5.36,14.0,14.0,2142.45,1976.53,80.76,76.74,9.0,3079.0,311.0,-3204.0,50.03,10.97
2018-01-04  16:44:47,1,0.0,0.0,-6.0,0.0,4.67,-27.27,-5.56,10.5,4.67,1574.29,1440.8,86.67,80.0,9.5,912.0,132.0,-2254.0,41.16,10.97
2018-01-04  17:42:24,1,0.0,1.0,-3.0,1.0,2.83,-17.39,-5.72,8.67,2.83,1485.24,1425.01,86.98,75.75,0.38,3752.0,430.0,-2074.0,39.91,11.66
2018-01-04  18:32:55,1,0.0,4.0,-15.0,-15.0,3.3,-33.33,-6.1,6.5,-4.3,1517.38,1267.06,83.41,70.59,12.08,4423.0,234.0,2976.0,46.57,2.74
2018-01-05  09:45:18,1,0.0,2.0,-15.0,-15.0,2.87,-45.71,-6.43,4.6,-7.87,1015.73,992.15,76.68,69.23,25.57,129.0,22.0,3676.0,44.65,6.85
2018-01-05  13:30:02,1,0.0,7.0,-15.0,-15.0,18.91,-51.28,-6.71,3.0,-9.9,1212.62,1087.01,91.74,56.25,3.5,2197.0,269.0,3638.0,42.08,8.24
2018-01-11  08:22:41,1,0.0,7.0,-3.0,7.0,26.26,-37.5,-6.64,2.1,-5.68,1450.01,1257.07,95.83,77.14,25.06,4713.0,300.0,5023.0,45.02,13.73
2018-01-11  08:44:25,1,0.0,2.0,-15.0,-15.0,26.09,-44.95,-6.87,1.25,-7.75,1511.82,1323.72,69.03,58.54,13.26,1355.0,89.0,1735.0,41.42,6.9
2018-01-12  09:48:56,1,0.0,0.0,-15.0,-15.0,25.26,-51.61,-7.06,0.45,-9.2,852.4,725.64,81.98,70.73,26.97,1116.0,71.0,-7302.0,47.18,2.07
2018-01-12  16:34:12,1,0.0,10.0,-4.0,-1.0,35.7,-38.24,-7.01,-0.13,-7.71,1617.6,1500.76,86.93,66.66,8.27,6606.0,491.0,1080.0,42.22,20.72
2018-01-16  10:22:47,1,0.0,2.0,-2.0,2.0,26.68,-36.23,-6.89,-0.72,-5.94,1406.24,1290.92,89.99,72.22,4.82,1563.0,86.0,1091.0,42.17,22.79
2018-01-16  10:24:49,1,0.0,3.0,-3.0,3.0,25.15,-25.83,-6.73,-2.57,-4.32,1631.32,1386.85,92.5,75.75,0.62,3328.0,183.0,3393.0,39.43,23.49
2018-01-16  10:35:02,1,0.0,5.0,-3.0,5.0,24.42,-14.46,-6.54,-3.74,-2.62,1380.41,1136.66,95.29,70.97,10.49,3914.0,295.0,5256.0,38.87,26.94
2018-01-16  10:36:37,1,0.0,1.0,-15.0,-15.0,24.94,-17.44,-6.61,-4.73,-4.87,1595.04,1475.93,65.07,58.82,0.14,6353.0,531.0,2288.0,40.16,6.2
2018-01-17  09:48:41,1,0.0,1.0,-3.0,1.0,24.94,-20.22,-6.41,-5.12,-3.81,1401.84,1212.24,77.71,63.16,10.45,820.0,47.0,3430.0,40.52,8.27
2018-01-17  09:53:26,1,0.0,1.0,-4.0,1.0,23.75,-13.68,-6.2,-5.09,-2.93,1359.1,1139.08,81.15,64.1,3.93,1323.0,100.0,4266.0,39.36,8.27
2018-01-17  09:59:33,1,0.0,0.0,-15.0,-15.0,22.09,-13.68,-6.19,-5.08,-5.13,1403.95,1382.68,60.43,52.63,12.02,2268.0,166.0,-7943.0,41.01,-1.38
2018-01-18  16:27:00,1,0.0,1.0,-15.0,-15.0,22.05,-21.9,-6.14,-5.23,-6.92,816.7,795.29,87.31,75.61,6.49,734.0,61.0,2433.0,40.5,22.78
2018-01-23  08:06:41,1,0.0,18.0,-6.0,18.0,42.22,-14.78,-5.57,-4.94,-2.39,1628.38,1413.57,96.44,73.91,8.01,3081.0,204.0,6875.0,46.24,35.2
2018-01-23  09:00:56,1,0.0,4.0,-15.0,-15.0,39.68,-18.52,-5.48,-4.68,-4.68,488.92,438.29,94.95,73.34,5.6,977.0,182.0,-5276.0,41.99,-19.33
2018-01-25  20:38:32,1,0.0,2.0,-15.0,-15.0,39.39,-23.26,-5.53,-4.62,-6.56,1146.09,1000.06,85.48,66.67,11.69,1918.0,149.0,2962.0,47.97,3.46
2018-01-26  08:42:33,1,0.0,2.0,-15.0,-15.0,39.24,-22.36,-6.75,-4.61,-8.09,982.38,813.96,86.87,74.36,26.0,1723.0,138.0,2844.0,50.33,5.58
2018-01-30  08:02:31,1,0.0,3.0,-2.0,3.0,38.98,-22.22,-4.01,-4.65,-6.08,975.26,773.01,90.66,72.5,33.21,1354.0,123.0,3715.0,48.67,6.98
2018-01-30  08:03:34,1,0.0,0.0,-5.0,0.0,38.76,-18.84,-3.76,-4.58,-4.97,960.74,801.93,91.76,81.08,28.02,1840.0,116.0,3811.0,46.39,6.98
2018-01-30  08:04:54,1,0.0,4.0,-15.0,-15.0,38.56,-11.11,-6.74,-4.66,-6.8,1061.2,802.37,75.33,75.56,19.72,2218.0,166.0,10900.0,48.1,11.17
2018-01-30  09:15:55,1,0.0,4.0,-15.0,-15.0,38.16,-5.7,-9.73,-5.04,-8.29,1220.41,1068.97,90.44,72.5,14.26,7285.0,465.0,4515.0,43.48,27.25
2018-01-31  08:19:59,1,0.0,2.0,-5.0,2.0,37.01,-15.63,-6.76,-5.4,-6.42,1250.38,1155.94,94.1,63.89,16.9,2857.0,196.0,5000.0,39.53,27.95
2018-01-31  08:30:29,1,0.0,2.0,-15.0,-15.0,36.27,-10.5,-9.67,-5.56,-7.98,1512.14,1499.07,90.47,71.88,11.42,3109.0,155.0,2704.0,39.86,29.34
2018-01-31  14:14:31,1,0.0,8.0,-15.0,-15.0,17.65,1.16,-12.57,-6.03,-9.25,1385.03,1275.52,82.18,78.57,10.01,1929.0,100.0,-8972.0,46.21,3.5
2018-02-01  15:30:07,1,0.0,1.0,-3.0,1.0,17.73,0.58,-10.66,-6.65,-7.39,1568.28,1433.73,86.37,73.17,7.81,2175.0,181.0,-8730.0,45.37,5.59
2018-02-01  15:36:28,1,0.0,4.0,-15.0,-15.0,18.01,-7.03,-11.63,-7.14,-8.77,1447.94,1362.78,98.27,70.0,15.26,2926.0,252.0,13757.0,45.58,14.06
2018-02-05  09:10:53,1,0.0,17.0,-12.0,17.0,38.44,-7.14,-5.81,-7.18,-4.09,1434.54,1120.53,82.59,77.27,38.24,2212.0,212.0,19115.0,50.27,26.01
2018-02-05  12:18:46,1,0.0,1.0,-5.0,1.0,38.52,-11.34,-3.18,-7.08,-3.16,1375.03,1159.31,88.29,73.17,19.22,3092.0,189.0,18926.0,49.12,26.71
2018-02-05  12:22:46,1,0.0,2.0,-3.0,2.0,37.09,-2.97,-2.61,-6.95,-2.22,1266.03,1131.77,90.95,69.04,3.47,2043.0,127.0,18890.0,45.64,27.41
2018-02-05  12:26:53,1,0.0,7.0,-8.0,7.0,37.93,0.98,0.55,-6.75,-0.55,1563.64,1426.38,91.03,67.74,14.63,8853.0,527.0,20343.0,43.45,33.03
2018-02-05  13:04:38,1,0.0,0.0,-15.0,-15.0,38.58,-5.15,-0.79,-6.4,-3.17,855.3,697.56,93.4,71.43,32.93,1483.0,228.0,273.0,49.56,-6.97
2018-02-06  09:33:02,1,0.0,4.0,-13.0,4.0,38.07,-6.0,0.07,-5.89,-1.87,1182.51,995.49,81.31,52.94,-5.97,1475.0,101.0,2706.0,36.44,-4.19
2018-02-06  10:13:26,1,0.0,7.0,-1.0,7.0,38.25,8.51,1.24,-5.34,-0.26,1294.26,1120.81,89.63,77.14,4.63,1600.0,123.0,4532.0,39.62,0.0
2018-02-06  10:23:57,1,0.0,18.0,-15.0,-15.0,50.08,9.89,1.47,-4.78,-2.94,716.87,579.08,89.52,73.91,31.82,745.0,68.0,-3701.0,53.9,4.92
2018-02-08  17:20:55,1,0.0,13.0,-6.0,13.0,51.75,17.32,4.01,-3.82,-0.04,542.37,390.88,82.86,59.09,23.12,450.0,51.0,-726.0,49.66,14.05
2018-02-08  17:58:26,1,0.0,0.0,-15.0,-15.0,52.67,20.0,0.51,-3.0,-2.76,1268.52,1066.84,92.19,69.05,26.76,2800.0,231.0,3541.0,49.92,5.62
2018-02-09  11:53:05,1,0.0,7.0,-10.0,7.0,46.21,17.2,1.4,-2.27,-0.99,1008.45,854.86,93.42,58.97,8.76,1732.0,184.0,4291.0,45.36,11.23
2018-02-09  12:16:49,1,0.0,7.0,-10.0,7.0,44.72,14.59,4.03,-1.78,0.47,1009.29,754.71,98.1,58.98,29.08,1425.0,83.0,8575.0,44.38,16.15
2018-02-09  12:40:45,1,0.0,8.0,-1.0,8.0,43.56,24.88,6.45,-1.22,1.84,1005.45,705.59,98.93,77.5,35.39,2539.0,236.0,10181.0,48.13,21.76
2018-02-09  12:43:40,1,0.0,1.0,-15.0,-15.0,44.66,20.39,2.41,-0.87,-1.22,740.48,576.34,88.71,75.0,29.56,861.0,113.0,12291.0,46.69,13.34
2018-02-09  17:18:38,1,0.0,10.0,-10.0,10.0,42.64,15.35,3.37,-0.5,0.82,571.95,472.0,93.8,70.59,5.97,1125.0,168.0,13587.0,46.19,20.36
2018-02-09  17:48:45,1,0.0,15.0,-14.0,15.0,46.14,22.77,6.9,-0.03,3.39,402.05,219.07,85.7,83.79,51.98,17.0,3.0,15883.0,54.29,30.89
2018-02-09  18:33:14,1,0.0,9.0,-15.0,-15.0,46.03,16.43,2.26,0.23,0.05,1112.36,1029.35,89.71,60.47,-6.07,1400.0,192.0,-2889.0,38.76,-2.81
2018-02-12  14:12:27,1,0.0,4.0,-15.0,-15.0,39.42,15.64,-2.38,0.28,-2.69,1376.09,1249.35,92.98,71.11,-5.16,3553.0,296.0,1421.0,47.44,9.13
2018-02-12  15:30:55,1,0.0,0.0,-15.0,-15.0,38.57,4.76,-5.17,0.08,-4.92,1310.89,1115.72,95.67,81.58,21.28,3548.0,243.0,4624.0,44.81,23.89
2018-02-13  08:42:54,1,0.0,5.0,-4.0,5.0,35.31,12.75,-5.56,-0.05,-3.12,1233.69,1335.46,97.7,72.97,4.76,706.0,56.0,2344.0,44.78,26.71
2018-02-13  09:07:19,1,0.0,7.0,-15.0,-15.0,35.38,0.51,-6.56,-0.37,-5.28,712.36,741.79,85.99,53.85,-0.94,1549.0,133.0,-2164.0,40.46,7.02
2018-02-14  08:36:28,1,0.0,1.0,-15.0,-15.0,36.59,-3.3,-8.91,-0.81,-7.05,1339.47,1167.58,98.71,75.86,17.42,1234.0,120.0,4918.0,40.5,12.67
2018-02-15  15:30:11,1,0.0,2.0,-2.0,2.0,36.51,-8.7,-7.49,-1.35,-5.4,1269.22,1069.68,98.97,66.67,23.32,1680.0,99.0,5929.0,38.75,14.08
2018-02-15  15:35:00,1,0.0,0.0,-4.0,0.0,36.26,-11.44,-5.89,-1.82,-4.42,1254.17,1054.04,99.06,71.43,18.96,2991.0,160.0,5957.0,35.62,14.08
2018-02-15  15:38:51,1,0.0,4.0,-1.0,4.0,34.18,-5.5,-5.93,-2.14,-2.89,1271.2,1100.11,99.32,70.0,14.85,1177.0,70.0,7091.0,38.69,16.9
2018-02-15  15:45:01,1,0.0,1.0,-3.0,1.0,22.81,-0.44,-4.66,-2.81,-2.18,1234.95,1046.72,99.4,68.96,16.79,712.0,45.0,7665.0,37.78,17.6
2018-02-15  15:49:54,1,0.0,0.0,-5.0,0.0,18.24,0.44,-3.21,-3.45,-1.79,1262.73,1080.31,99.46,70.0,4.82,4358.0,324.0,7386.0,34.78,16.9
2018-02-15  15:55:40,1,0.0,0.0,-4.0,0.0,18.04,-8.18,-4.18,-3.75,-1.46,1176.5,1003.83,99.52,65.51,3.35,1590.0,106.0,7869.0,34.41,17.6
2018-02-15  15:59:17,1,0.0,3.0,-1.0,3.0,17.63,-4.39,-1.56,-3.88,-0.65,1183.64,978.45,99.6,65.71,20.74,2159.0,161.0,8600.0,35.92,19.72
2018-02-15  16:03:53,1,0.0,2.0,-15.0,-15.0,16.28,0.92,-5.62,-3.95,-3.26,1644.1,1474.17,80.96,54.84,-0.98,5017.0,393.0,9338.0,37.65,30.27
2018-02-16  11:13:30,1,0.0,1.0,-3.0,1.0,10.38,0.96,-3.93,-4.05,-2.48,1614.92,1364.19,83.01,54.84,6.35,1850.0,100.0,10344.0,36.88,30.97
2018-02-16  11:19:34,1,0.0,2.0,-13.0,2.0,10.52,-1.38,-1.94,-3.79,-1.67,1097.29,1006.17,67.63,51.35,2.4,3415.0,253.0,10153.0,38.76,31.67
2018-02-16  12:37:39,1,0.0,1.0,-5.0,1.0,10.4,-15.84,0.04,-3.35,-1.18,1081.68,960.14,77.53,55.55,-7.39,2951.0,225.0,11090.0,36.63,31.67
2018-02-16  12:50:59,1,0.0,8.0,-3.0,8.0,18.54,-9.8,0.86,-2.77,0.49,1893.35,1700.42,86.99,74.36,14.35,12780.0,911.0,12591.0,45.4,38.71
2018-02-16  13:28:22,1,0.0,18.0,-6.0,18.0,42.44,1.42,6.22,-2.21,3.67,1655.1,1486.86,97.68,75.61,2.44,1950.0,170.0,15242.0,47.92,51.38
2018-02-16  14:11:17,1,0.0,0.0,-5.0,0.0,42.19,1.92,8.43,-1.6,3.0,1687.96,1527.65,97.9,75.0,0.71,4041.0,228.0,15429.0,43.53,50.68
2018-02-16  14:16:43,1,0.0,8.0,-9.0,8.0,43.11,6.73,9.01,-0.79,3.91,1046.67,983.9,77.09,53.66,-1.24,832.0,88.0,18749.0,41.33,56.31
2018-02-16  14:52:26,1,0.0,2.0,-9.0,2.0,41.8,7.62,8.02,-0.1,3.56,833.06,864.39,74.58,54.28,6.7,1051.0,95.0,18499.0,37.05,57.71
2018-02-16  15:13:53,1,0.0,18.0,-14.0,-13.0,53.61,15.04,3.76,0.31,0.55,1810.37,1858.55,84.59,80.0,6.56,2853.0,138.0,-2145.0,44.06,3.51
2018-02-20  13:50:34,1,0.0,0.0,-7.0,0.0,53.55,15.04,4.38,0.69,0.45,1653.45,1689.68,86.14,73.17,-1.73,1425.0,106.0,-2558.0,43.72,4.21
2018-02-20  14:02:01,1,0.0,16.0,-2.0,16.0,58.37,29.26,5.97,1.39,3.28,1866.57,1614.59,94.78,72.1,25.26,364.0,50.0,1697.0,51.5,15.43
2018-02-20  14:22:22,1,0.0,3.0,-15.0,-15.0,57.11,20.33,0.87,1.79,-0.04,1223.0,956.32,88.63,65.85,15.17,2661.0,172.0,4775.0,47.05,15.42
2018-02-21  08:15:14,1,0.0,6.0,-1.0,6.0,54.75,17.41,1.94,2.08,1.05,1253.42,1033.57,93.41,77.15,15.89,3213.0,246.0,6804.0,47.93,18.92
2018-02-21  08:23:57,1,0.0,5.0,-2.0,5.0,54.61,24.35,2.52,2.35,1.77,1189.66,999.92,95.37,80.56,16.82,806.0,50.0,6952.0,49.73,23.13
2018-02-21  08:29:48,1,0.0,6.0,-1.0,6.0,47.7,23.98,3.67,2.45,2.54,1142.37,892.98,96.7,84.22,29.13,723.0,31.0,8003.0,51.07,27.33
2018-02-21  08:31:32,1,0.0,0.0,-8.0,0.0,46.53,20.57,3.25,2.41,2.08,1363.59,1246.64,97.24,73.18,-0.14,5323.0,393.0,7600.0,47.01,26.63
2018-02-21  08:43:33,1,0.0,0.0,-4.0,0.0,47.24,11.01,2.73,2.31,1.7,1199.7,1135.84,97.47,73.18,-0.13,773.0,96.0,6894.0,44.96,27.33
2018-02-21  08:44:30,1,0.0,4.0,-3.0,4.0,46.33,16.52,3.01,2.15,2.12,1560.52,1274.32,97.75,68.18,6.43,6812.0,380.0,9308.0,44.92,29.43
2018-02-21  08:50:53,1,0.0,3.0,-15.0,-15.0,34.96,0.84,-0.23,1.96,-0.99,1532.01,1361.3,80.99,65.79,3.55,2635.0,184.0,12050.0,40.08,35.78
2018-02-22  13:40:03,1,0.0,22.0,-12.0,22.0,53.59,8.88,2.14,2.12,3.19,797.04,611.55,88.61,68.29,25.33,1646.0,132.0,3842.0,50.59,18.18
2018-02-23  08:02:49,1,0.0,42.0,-2.0,42.0,100.34,20.41,9.77,2.37,10.24,1909.37,1726.91,95.16,80.0,-0.31,1063.0,52.0,13046.0,44.24,48.25
2018-02-23  12:21:25,1,0.0,0.0,-5.0,0.0,99.93,20.27,8.47,2.63,8.38,1712.29,1611.73,95.57,75.0,-5.86,1638.0,91.0,13340.0,40.36,47.55
2018-02-23  12:26:52,1,0.0,0.0,-4.0,0.0,100.14,19.45,7.08,2.98,6.86,1758.18,1641.15,96.0,71.8,-6.61,5661.0,622.0,13467.0,39.22,48.25
2018-02-23  12:38:38,1,0.0,3.0,-2.0,3.0,99.64,20.0,7.13,3.27,6.16,2281.74,2276.27,96.75,64.87,-7.94,14605.0,952.0,14567.0,39.77,49.65
2018-02-23  12:59:30,1,0.0,0.0,-15.0,-15.0,99.7,10.8,4.81,3.4,2.31,2145.23,1818.26,77.42,68.29,13.8,6087.0,389.0,13889.0,38.62,51.74
2018-02-23  15:13:50,1,0.0,5.0,-1.0,5.0,97.88,12.11,4.92,3.68,2.8,2400.79,1853.85,85.71,65.85,19.91,1077.0,31.0,18145.0,40.75,55.24
2018-02-23  15:25:19,1,0.0,0.0,-5.0,0.0,96.45,15.57,4.88,3.96,2.29,2129.63,1723.36,87.76,63.41,2.25,1776.0,115.0,18137.0,37.34,54.54
2018-02-23  15:30:35,1,0.0,0.0,-4.0,0.0,96.23,7.99,4.28,4.28,1.87,2149.65,1833.45,88.78,68.29,1.24,7244.0,494.0,18030.0,36.62,55.24
2018-02-23  15:38:55,1,0.0,4.0,-6.0,4.0,95.38,-7.03,2.77,4.75,2.26,2880.97,2670.5,89.12,57.89,-2.06,4147.0,408.0,18882.0,33.07,58.04
2018-02-23  17:24:23,1,0.0,13.0,-2.0,1.0,91.25,-3.28,1.89,5.05,2.03,1671.87,1564.42,81.42,57.14,-3.61,3220.0,248.0,12119.0,38.02,13.23
2018-02-28  14:45:39,1,0.0,2.0,-3.0,2.0,30.81,-8.13,3.06,4.79,2.03,1900.42,1710.21,86.43,70.0,12.57,1538.0,111.0,12558.0,38.41,14.63
2018-02-28  15:00:16,1,0.0,3.0,-13.0,3.0,30.12,-6.37,1.05,4.32,2.2,3632.61,3803.86,80.15,61.11,-8.54,5800.0,375.0,9040.0,37.85,16.72
2018-02-28  16:58:50,1,0.0,16.0,-7.0,16.0,42.91,3.43,3.79,3.85,4.71,1551.74,1366.46,88.87,60.61,9.7,1084.0,125.0,4027.0,37.87,11.13
2018-03-01  08:52:08,1,0.0,3.0,-3.0,3.0,42.62,-0.32,3.66,3.45,4.4,1418.22,1224.72,92.33,70.27,19.14,1025.0,57.0,4546.0,40.2,14.6
2018-03-01  08:58:09,1,0.0,13.0,-1.0,13.0,46.25,3.09,5.68,3.31,5.96,1611.36,1303.57,97.12,77.78,36.28,1486.0,90.0,8742.0,49.54,23.64
2018-03-01  09:07:37,1,0.0,3.0,-3.0,3.0,46.17,4.62,4.89,3.35,5.42,2176.55,2009.67,97.77,74.29,26.89,14380.0,997.0,9663.0,48.19,24.34
2018-03-01  09:20:19,1,0.0,5.0,-14.0,5.0,43.84,5.23,4.45,3.38,5.35,1741.81,1590.23,70.47,66.66,24.43,1039.0,92.0,9204.0,42.86,29.21
2018-03-01  11:54:37,1,0.0,8.0,-15.0,-15.0,41.31,-3.16,0.4,3.28,1.65,1347.79,1146.59,87.52,76.92,18.14,1819.0,105.0,2160.0,45.25,3.46
